Month,Total nonfarm,Total private,Mining and logging,Construction,Manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Utilities,Information,Financial activities,Professional and business services,Private education and health services,Leisure and hospitality,Other services,Government,Federal government,State government,Local government
9/1/2003,130252,108748,570,6783,14347,5537.4,14911.4,4162.1,573.1,3162,8100,16108,16883,12208,5403,21504,2749,4980,13775
10/1/2003,130252,108881,573,6784,14334,5537.1,14930.1,4171.3,573,3155,8090,16130,16942,12259,5402,21558,2742,4987,13829
11/1/2003,130252,108947,576,6796,14316,5539.2,14906.1,4174.8,571.5,3150,8083,16168,16978,12284,5404,21535,2728,4988,13819
12/1/2003,130252,109049,575,6827,14300,5551.4,14903.6,4161.6,570.8,3150,8076,16195,17016,12320,5403,21546,2740,4981,13825
1/1/2004,130252,109227,576,6848,14290,5562.8,14946.7,4191.7,570.2,3141,8078,16224,17048,12346,5405,21538,2732,4965,13841
2/1/2004,130252,109272,577,6838,14279,5568.5,14945.8,4196.3,568.7,3141,8078,16237,17066,12372,5405,21550,2731,4967,13852
3/1/2004,130252,109551,584,6887,14287,5575.1,14995.3,4213,568.9,3134,8085,16264,17115,12425,5418,21588,2731,4973,13884
4/1/2004,130252,109796,587,6901,14315,5595.3,15015.3,4206.8,568.7,3130,8097,16376,17150,12435,5419,21614,2753,4973,13888
5/1/2004,130252,110080,591,6948,14342,5597.8,15030.4,4219.7,567.2,3135,8115,16449,17185,12481,5419,21614,2730,4971,13913
6/1/2004,130252,110188,591,6962,14332,5602.1,15053.3,4234.3,565.7,3136,8116,16481,17200,12495,5420,21601,2730,4978,13893
7/1/2004,130252,110243,594,6977,14330,5610.6,15036.7,4244,564,3124,8099,16521,17234,12495,5414,21606,2729,4982,13895
8/1/2004,130252,110310,595,7003,14345,5619,15038.3,4250.3,560.7,3108,8107,16519,17270,12485,5410,21626,2729,4985,13912
9/1/2004,130252,110447,597,7029,14331,5631.7,15061.7,4262.6,560.2,3096,8120,16542,17261,12550,5405,21635,2729,4985,13921
10/1/2004,130252,110777,594,7077,14332,5636.3,15089.8,4271.9,558.4,3099,8115,16661,17364,12582,5397,21656,2724,4993,13939
11/1/2004,130252,110817,599,7091,14307,5637.9,15111.2,4270.3,555.6,3088,8117,16643,17391,12606,5400,21692,2727,4998,13967
12/1/2004,130252,110940,601,7117,14287,5651.6,15104.5,4288.1,555.6,3077,8133,16659,17436,12630,5400,21693,2728,4995,13970
1/1/2005,130252,111043,607,7095,14257,5645.5,15123.5,4297.2,557.5,3071,8143,16713,17470,12665,5398,21735,2727,5019,13989
2/1/2005,130252,111289,610,7153,14273,5658.9,15163.7,4310.5,557.2,3057,8146,16797,17480,12690,5393,21744,2728,5015,14001
3/1/2005,130252,111413,616,7181,14269,5668.6,15166.5,4320.3,555,3062,8139,16826,17506,12718,5386,21740,2733,5013,13994
4/1/2005,130252,111762,620,7266,14250,5679.7,15216.2,4335.5,554.7,3066,8150,16886,17544,12802,5392,21754,2725,5019,14010
5/1/2005,130252,111906,622,7294,14256,5691.9,15232.2,4345.2,553.9,3062,8154,16909,17605,12797,5384,21781,2734,5022,14025
6/1/2005,130252,112177,625,7333,14227,5702.6,15266.8,4345.9,553.4,3057,8172,16998,17662,12837,5397,21763,2733,5029,14001
7/1/2005,130252,112440,626,7353,14226,5712.6,15307.8,4358.4,553.8,3061,8191,17064,17716,12867,5403,21857,2728,5040,14089
8/1/2005,134495,112632,630,7394,14203,5722.7,15323.8,4363.4,554.3,3063,8215,17123,17750,12891,5399,21863,2731,5038,14094
9/1/2005,134551,112706,636,7415,14175,5728.3,15296.6,4366.5,553.2,3070,8224,17193,17789,12862,5397,21845,2732,5040,14073
10/1/2005,134644,112815,640,7460,14192,5737.1,15293.3,4373.3,553.2,3055,8259,17214,17812,12840,5386,21829,2735,5037,14057
11/1/2005,135001,113142,647,7524,14187,5748.7,15325.2,4386.5,552.3,3055,8281,17293,17864,12884,5394,21859,2739,5045,14075
12/1/2005,135161,113282,650,7533,14193,5761,15331.7,4391.3,550.6,3052,8284,17327,17894,12905,5409,21879,2733,5061,14085
