,Month,Total_private,Information,Construction
0,1939-02-01,164.0,6.0,23.0
1,1939-03-01,179.0,8.0,63.0
2,1939-04-01,-186.0,1.0,24.0
3,1939-05-01,201.0,-2.0,13.0
4,1939-06-01,206.0,6.0,2.0
5,1939-07-01,-99.0,0.0,-43.0
6,1939-08-01,217.0,3.0,15.0
7,1939-09-01,338.0,18.0,-33.0
8,1939-10-01,367.0,27.0,-17.0
9,1939-11-01,39.0,0.0,-14.0
10,1939-12-01,47.0,-1.0,-30.0
11,1940-01-01,45.0,5.0,-21.0
12,1940-02-01,112.0,3.0,57.0
13,1940-03-01,109.0,-4.0,36.0
14,1940-04-01,-125.0,-8.0,62.0
15,1940-05-01,158.0,4.0,22.0
16,1940-06-01,52.0,0.0,-8.0
17,1940-07-01,-78.0,0.0,-18.0
18,1940-08-01,389.0,13.0,14.0
19,1940-09-01,428.0,14.0,93.0
20,1940-10-01,416.0,17.0,127.0
21,1940-11-01,359.0,9.0,121.0
22,1940-12-01,486.0,10.0,150.0
23,1941-01-01,254.0,12.0,56.0
24,1941-02-01,326.0,14.0,-13.0
25,1941-03-01,218.0,17.0,-81.0
26,1941-04-01,326.0,21.0,33.0
27,1941-05-01,657.0,22.0,12.0
28,1941-06-01,409.0,18.0,7.0
29,1941-07-01,438.0,18.0,90.0
30,1941-08-01,336.0,13.0,37.0
31,1941-09-01,221.0,10.0,21.0
32,1941-10-01,98.0,10.0,-4.0
33,1941-11-01,33.0,3.0,-20.0
34,1941-12-01,58.0,2.0,-12.0
35,1942-01-01,125.0,7.0,11.0
36,1942-02-01,108.0,7.0,-14.0
37,1942-03-01,312.0,11.0,142.0
38,1942-04-01,317.0,14.0,128.0
39,1942-05-01,345.0,10.0,101.0
40,1942-06-01,179.0,7.0,109.0
41,1942-07-01,362.0,14.0,114.0
42,1942-08-01,293.0,15.0,-16.0
43,1942-09-01,219.0,14.0,-45.0
44,1942-10-01,166.0,14.0,-81.0
45,1942-11-01,89.0,13.0,-92.0
46,1942-12-01,195.0,20.0,-124.0
47,1943-01-01,197.0,15.0,-72.0
48,1943-02-01,130.0,8.0,-42.0
49,1943-03-01,125.0,12.0,-68.0
50,1943-04-01,85.0,8.0,-100.0
51,1943-05-01,-65.0,4.0,-117.0
52,1943-06-01,142.0,12.0,-98.0
53,1943-07-01,-14.0,8.0,-123.0
54,1943-08-01,-48.0,4.0,-83.0
55,1943-09-01,-70.0,1.0,-76.0
56,1943-10-01,180.0,12.0,-23.0
57,1943-11-01,137.0,9.0,-14.0
58,1943-12-01,-167.0,0.0,-4.0
59,1944-01-01,17.0,1.0,7.0
60,1944-02-01,-83.0,4.0,-23.0
61,1944-03-01,-228.0,-2.0,-63.0
62,1944-04-01,-230.0,-3.0,-65.0
63,1944-05-01,-87.0,-1.0,-23.0
64,1944-06-01,-64.0,-2.0,-26.0
65,1944-07-01,-86.0,-4.0,-20.0
66,1944-08-01,-68.0,-2.0,-22.0
67,1944-09-01,-183.0,-5.0,-45.0
68,1944-10-01,22.0,-4.0,49.0
69,1944-11-01,-37.0,3.0,10.0
70,1944-12-01,37.0,9.0,18.0
71,1945-01-01,156.0,-3.0,30.0
72,1945-02-01,17.0,3.0,48.0
73,1945-03-01,-76.0,2.0,-12.0
74,1945-04-01,-321.0,-8.0,-31.0
75,1945-05-01,-116.0,-8.0,-10.0
76,1945-06-01,-177.0,-11.0,-5.0
77,1945-07-01,-279.0,-13.0,11.0
78,1945-08-01,-358.0,-20.0,15.0
79,1945-09-01,-1766.0,-78.0,-16.0
80,1945-10-01,181.0,1.0,88.0
81,1945-11-01,420.0,18.0,60.0
82,1945-12-01,133.0,12.0,45.0
83,1946-01-01,745.0,14.0,85.0
84,1946-02-01,-578.0,-31.0,80.0
85,1946-03-01,971.0,41.0,80.0
86,1946-04-01,715.0,29.0,58.0
87,1946-05-01,465.0,-7.0,40.0
88,1946-06-01,438.0,8.0,18.0
89,1946-07-01,416.0,17.0,64.0
90,1946-08-01,490.0,18.0,47.0
91,1946-09-01,285.0,7.0,28.0
92,1946-10-01,183.0,11.0,39.0
93,1946-11-01,327.0,10.0,26.0
94,1946-12-01,-5.0,0.0,30.0
95,1947-01-01,165.0,7.0,-4.0
96,1947-02-01,35.0,-1.0,33.0
97,1947-03-01,68.0,10.0,12.0
98,1947-04-01,-78.0,-31.0,20.0
99,1947-05-01,146.0,12.0,23.0
100,1947-06-01,199.0,14.0,61.0
101,1947-07-01,-67.0,-3.0,1.0
102,1947-08-01,222.0,5.0,18.0
103,1947-09-01,223.0,6.0,-1.0
104,1947-10-01,181.0,2.0,15.0
105,1947-11-01,54.0,1.0,-8.0
106,1947-12-01,77.0,11.0,29.0
107,1948-01-01,79.0,-10.0,49.0
108,1948-02-01,-137.0,1.0,-74.0
109,1948-03-01,142.0,8.0,58.0
110,1948-04-01,-324.0,-25.0,39.0
111,1948-05-01,379.0,11.0,43.0
112,1948-06-01,183.0,6.0,35.0
113,1948-07-01,88.0,7.0,4.0
114,1948-08-01,1.0,-7.0,-15.0
115,1948-09-01,102.0,1.0,-5.0
116,1948-10-01,-73.0,-1.0,-1.0
117,1948-11-01,-93.0,-7.0,17.0
118,1948-12-01,-179.0,-1.0,26.0
119,1949-01-01,-370.0,-24.0,-14.0
120,1949-02-01,-170.0,-10.0,-17.0
121,1949-03-01,-279.0,-16.0,-11.0
122,1949-04-01,-37.0,-8.0,-21.0
123,1949-05-01,-266.0,-8.0,-11.0
124,1949-06-01,-239.0,-11.0,-35.0
125,1949-07-01,-214.0,-13.0,5.0
126,1949-08-01,70.0,-7.0,6.0
127,1949-09-01,151.0,-1.0,15.0
128,1949-10-01,-818.0,-32.0,-5.0
129,1949-11-01,320.0,8.0,11.0
130,1949-12-01,278.0,18.0,-22.0
131,1950-01-01,22.0,4.0,9.0
132,1950-02-01,-221.0,-3.0,12.0
133,1950-03-01,505.0,11.0,13.0
134,1950-04-01,412.0,17.0,52.0
135,1950-05-01,387.0,-1.0,52.0
136,1950-06-01,386.0,33.0,63.0
137,1950-07-01,303.0,15.0,46.0
138,1950-08-01,641.0,24.0,37.0
139,1950-09-01,205.0,12.0,21.0
140,1950-10-01,247.0,11.0,34.0
141,1950-11-01,57.0,3.0,18.0
142,1950-12-01,33.0,5.0,-22.0
143,1951-01-01,389.0,12.0,67.0
144,1951-02-01,259.0,12.0,19.0
145,1951-03-01,268.0,9.0,42.0
146,1951-04-01,-53.0,4.0,26.0
147,1951-05-01,125.0,-3.0,15.0
148,1951-06-01,30.0,2.0,-19.0
149,1951-07-01,-42.0,-3.0,0.0
150,1951-08-01,-30.0,-5.0,-3.0
151,1951-09-01,-91.0,-3.0,-15.0
152,1951-10-01,27.0,-1.0,25.0
153,1951-11-01,92.0,5.0,-39.0
154,1951-12-01,105.0,3.0,36.0
155,1952-01-01,81.0,5.0,-2.0
156,1952-02-01,165.0,5.0,60.0
157,1952-03-01,-30.0,1.0,-63.0
158,1952-04-01,116.0,-8.0,-3.0
159,1952-05-01,-10.0,4.0,-1.0
160,1952-06-01,-378.0,-15.0,30.0
161,1952-07-01,-164.0,-18.0,-4.0
162,1952-08-01,800.0,36.0,5.0
163,1952-09-01,380.0,16.0,5.0
164,1952-10-01,195.0,12.0,-28.0
165,1952-11-01,234.0,9.0,12.0
166,1952-12-01,216.0,8.0,7.0
167,1953-01-01,119.0,2.0,14.0
168,1953-02-01,192.0,6.0,36.0
169,1953-03-01,147.0,8.0,-36.0
170,1953-04-01,-24.0,2.0,-21.0
171,1953-05-01,108.0,6.0,-23.0
172,1953-06-01,12.0,0.0,-21.0
173,1953-07-01,28.0,2.0,-6.0
174,1953-08-01,-78.0,-6.0,0.0
175,1953-09-01,-116.0,-9.0,23.0
176,1953-10-01,-143.0,-11.0,27.0
177,1953-11-01,-317.0,-15.0,-6.0
178,1953-12-01,-199.0,-14.0,12.0
179,1954-01-01,-251.0,-14.0,-62.0
180,1954-02-01,-110.0,-13.0,58.0
181,1954-03-01,-238.0,-19.0,-6.0
182,1954-04-01,12.0,0.0,-2.0
183,1954-05-01,-237.0,-8.0,-21.0
184,1954-06-01,-87.0,-4.0,-11.0
185,1954-07-01,-82.0,-7.0,-5.0
186,1954-08-01,-33.0,-5.0,2.0
