,Month,Total_private_pch,Construction_pch
0,1960-01-01,0.35148,-1.20994
1,1960-02-01,0.4786,1.05925
2,1960-03-01,-0.5586,-5.6338
3,1960-04-01,0.76205,4.26935
4,1960-05-01,-0.50995,0.56591
5,1960-06-01,-0.27583,-0.72824
6,1960-07-01,-0.11325,0.10003
7,1960-08-01,-0.13954,-0.96602
8,1960-09-01,-0.14629,-0.4709
9,1960-10-01,-0.20335,-0.10139
10,1960-11-01,-0.42726,-0.67659
11,1960-12-01,-0.66014,-2.52044
12,1961-01-01,-0.05759,1.64221
13,1961-02-01,-0.33024,-0.7219
14,1961-03-01,0.17345,0.76177
15,1961-04-01,-0.11099,-0.92784
16,1961-05-01,0.27557,-0.58966
17,1961-06-01,0.37011,1.43057
18,1961-07-01,0.24288,-0.82559
19,1961-08-01,0.29736,0.65904
20,1961-09-01,0.12738,0.55134
21,1961-10-01,0.27417,0.58259
22,1961-11-01,0.46591,0.20443
23,1961-12-01,0.23079,0.34002
24,1962-01-01,0.00869,-1.99932
25,1962-02-01,0.58645,2.86999
26,1962-03-01,0.1382,-1.14286
27,1962-04-01,0.65985,2.61816
28,1962-05-01,-0.02142,0.23194
29,1962-06-01,-0.05571,-2.14876
30,1962-07-01,0.16294,2.19595
31,1962-08-01,0.11772,0.06612
32,1962-09-01,0.24372,0.19822
33,1962-10-01,0.08104,-0.06594
34,1962-11-01,-0.0341,0.13197
35,1962-12-01,-0.01919,-0.88962
36,1963-01-01,0.01919,0.43218
37,1963-02-01,0.18759,-0.79444
38,1963-03-01,0.16171,-0.6006
39,1963-04-01,0.51195,2.24908
40,1963-05-01,0.02536,0.49245
41,1963-06-01,0.06127,-0.03267
42,1963-07-01,0.2175,0.91503
43,1963-08-01,0.17278,0.35622
44,1963-09-01,0.2503,0.35495
45,1963-10-01,0.30004,-0.19293
46,1963-11-01,-0.06903,-0.67655
47,1963-12-01,0.19468,-0.03244
48,1964-01-01,0.12744,-2.7904
49,1964-02-01,0.51539,4.53939
50,1964-03-01,0.23665,-0.2235
51,1964-04-01,-0.01657,-0.384
52,1964-05-01,0.29206,0.38548
53,1964-06-01,0.27055,0.704
54,1964-07-01,0.38105,0.31776
55,1964-08-01,0.31189,0.28508
56,1964-09-01,0.47047,0.15793
57,1964-10-01,-0.34408,0.91454
58,1964-11-01,0.79881,0.8125
59,1964-12-01,0.37496,0.21699
60,1965-01-01,0.24433,-0.06186
61,1965-02-01,0.36459,-0.1857
62,1965-03-01,0.33517,0.49612
63,1965-04-01,0.43006,-1.26504
64,1965-05-01,0.37643,2.15625
65,1965-06-01,0.3274,0.3059
66,1965-07-01,0.39951,-0.91491
67,1965-08-01,0.38019,1.66205
68,1965-09-01,0.38268,0.51468
69,1965-10-01,0.36949,0.60241
70,1965-11-01,0.42656,0.7485
71,1965-12-01,0.51009,1.21842
72,1966-01-01,0.31839,-0.79272
73,1966-02-01,0.37893,-1.27257
74,1966-03-01,0.60362,2.54796
75,1966-04-01,0.33905,-0.78924
76,1966-05-01,0.40434,-1.00177
77,1966-06-01,0.60124,1.84524
78,1966-07-01,0.22177,-0.05845
79,1966-08-01,0.32629,-0.76023
80,1966-09-01,0.14766,-0.79552
81,1966-10-01,0.27436,-0.8019
82,1966-11-01,0.16565,-0.77844
83,1966-12-01,0.23599,0.1207
84,1967-01-01,0.27622,0.33153
85,1967-02-01,-0.02958,-0.36047
86,1967-03-01,0.10541,-0.81399
87,1967-04-01,-0.18842,-0.39514
88,1967-05-01,0.21284,-0.45774
89,1967-06-01,0.12928,0.06131
90,1967-07-01,0.23609,1.19485
91,1967-08-01,0.38459,0.27248
92,1967-09-01,-0.022,0.06039
93,1967-10-01,0.07701,-0.03018
94,1967-11-01,0.77863,0.93571
95,1967-12-01,0.28541,0.0299
96,1968-01-01,-0.28098,-4.00598
97,1968-02-01,0.70169,5.79259
98,1968-03-01,0.1029,-0.26494
99,1968-04-01,0.40575,0.38371
100,1968-05-01,0.12393,-0.32343
101,1968-06-01,0.30674,-0.79646
102,1968-07-01,0.33978,0.68391
103,1968-08-01,0.32081,0.91553
104,1968-09-01,0.22918,1.17062
105,1968-10-01,0.35982,0.95458
106,1968-11-01,0.4539,-0.11461
107,1968-12-01,0.39735,1.14745
108,1969-01-01,0.22241,0.22689
109,1969-02-01,0.4281,1.16016
110,1969-03-01,0.34972,0.11189
111,1969-04-01,0.26181,0.30735
112,1969-05-01,0.37526,1.25348
113,1969-06-01,0.40142,0.7978
114,1969-07-01,0.19219,0.0
115,1969-08-01,0.42131,-0.27293
116,1969-09-01,-0.17055,0.60208
117,1969-10-01,0.26651,-0.10881
118,1969-11-01,-0.0903,0.29956
119,1969-12-01,0.21488,0.65164
120,1970-01-01,-0.14294,-2.48179
121,1970-02-01,0.18234,2.4343
122,1970-03-01,0.10376,-0.16203
123,1970-04-01,-0.34836,-0.75737
124,1970-05-01,-0.31888,-0.95394
125,1970-06-01,-0.1608,0.05504
126,1970-07-01,-0.01028,0.24752
127,1970-08-01,-0.22277,0.10974
128,1970-09-01,-0.0395,-0.84955
129,1970-10-01,-0.81611,0.22112
130,1970-11-01,-0.25811,0.46884
131,1970-12-01,0.63912,1.23525
132,1971-01-01,0.06903,-1.22017
133,1971-02-01,-0.0983,-0.2745
134,1971-03-01,0.03798,1.12854
135,1971-04-01,0.23985,1.66032
136,1971-05-01,0.32019,0.40161
137,1971-06-01,-0.05319,0.24
138,1971-07-01,0.09958,0.71828
139,1971-08-01,0.04802,0.0
140,1971-09-01,0.36687,0.89805
141,1971-10-01,-0.03245,1.23037
142,1971-11-01,0.29388,0.93095
143,1971-12-01,0.37479,-0.92237
144,1972-01-01,0.43449,1.16369
145,1972-02-01,0.29573,-0.6135
146,1972-03-01,0.4465,0.84877
147,1972-04-01,0.31703,0.25504
148,1972-05-01,0.41636,0.66141
149,1972-06-01,0.49956,0.30326
150,1972-07-01,-0.20877,-0.75586
151,1972-08-01,0.63759,1.11703
152,1972-09-01,0.12869,0.42681
153,1972-10-01,0.6245,0.95
154,1972-11-01,0.42903,-0.89153
155,1972-12-01,0.41415,-1.62419
156,1973-01-01,0.55696,1.7018
157,1973-02-01,0.60717,1.67333
158,1973-03-01,0.37879,0.44215
159,1973-04-01,0.22226,0.41575
160,1973-05-01,0.2441,0.75499
161,1973-06-01,0.29285,1.35364
162,1973-07-01,0.05237,0.93012
163,1973-08-01,0.3426,0.02363
164,1973-09-01,0.18968,0.0945
165,1973-10-01,0.38811,-0.11801
166,1973-11-01,0.40075,0.0
167,1973-12-01,0.11896,0.16541
168,1974-01-01,0.07661,-1.01439
169,1974-02-01,0.17029,1.50143
170,1974-03-01,0.03899,-0.09392
171,1974-04-01,0.07327,-0.70505
172,1974-05-01,0.21343,-0.63905
173,1974-06-01,0.05752,-1.23869
174,1974-07-01,-0.02641,-2.43608
175,1974-08-01,-0.08858,0.34611
176,1974-09-01,-0.16021,-1.23183
177,1974-10-01,-0.06543,-0.92292
178,1974-11-01,-0.64384,-1.53575
179,1974-12-01,-1.00419,-1.30401
180,1975-01-01,-0.67202,-0.49223
181,1975-02-01,-0.79465,-3.20229
182,1975-03-01,-0.44555,-2.42066
183,1975-04-01,-0.36999,-1.73649
184,1975-05-01,0.21406,-0.36466
185,1975-06-01,-0.09709,-0.73198
186,1975-07-01,0.2786,-0.70902
187,1975-08-01,0.60411,1.31391
188,1975-09-01,0.19427,0.73301
189,1975-10-01,0.37818,0.39183
190,1975-11-01,0.22669,0.47393
191,1975-12-01,0.46032,1.02664
192,1976-01-01,0.73409,1.29085
193,1976-02-01,0.47376,-0.02711
194,1976-03-01,0.35404,-0.05424
195,1976-04-01,0.38401,-0.02714
196,1976-05-01,0.05287,-0.95005
197,1976-06-01,0.1119,-0.46588
198,1976-07-01,0.2189,-0.13767
199,1976-08-01,0.22152,0.13785
200,1976-09-01,0.34623,0.05507
201,1976-10-01,-0.05853,0.3027
202,1976-11-01,0.43771,0.90535
203,1976-12-01,0.31611,0.27189
204,1977-01-01,0.39925,-0.75922
205,1977-02-01,0.45403,3.14208
206,1977-03-01,0.62034,2.22517
207,1977-04-01,0.4703,1.16611
208,1977-05-01,0.45459,0.66598
209,1977-06-01,0.48539,0.81425
210,1977-07-01,0.37752,0.47956
211,1977-08-01,0.31391,0.35167
212,1977-09-01,0.56386,0.70088
213,1977-10-01,0.3053,0.27343
214,1977-11-01,0.46973,0.59494
215,1977-12-01,0.31169,0.71464
216,1978-01-01,0.16117,-1.41913
217,1978-02-01,0.42619,0.71978
218,1978-03-01,0.65245,2.95712
219,1978-04-01,0.9121,3.11154
220,1978-05-01,0.44056,-0.13928
221,1978-06-01,0.59851,1.78987
222,1978-07-01,0.28833,0.54807
223,1978-08-01,0.40531,0.3861
224,1978-09-01,0.29333,0.0905
225,1978-10-01,0.41224,0.51989
226,1978-11-01,0.55341,0.13492
227,1978-12-01,0.36277,-0.06737
228,1979-01-01,0.15256,-1.73034
229,1979-02-01,0.32523,0.36588
230,1979-03-01,0.56765,3.71383
231,1979-04-01,-0.11289,-0.79086
232,1979-05-01,0.48883,1.08503
233,1979-06-01,0.35773,0.85433
234,1979-07-01,0.0054,0.36924
235,1979-08-01,0.0054,0.28132
236,1979-09-01,0.17281,-0.19422
237,1979-10-01,0.19677,-0.10811
238,1979-11-01,0.07398,-0.06494
239,1979-12-01,0.12366,0.28157
240,1980-01-01,0.14364,-0.10799
241,1980-02-01,0.07775,-0.43243
242,1980-03-01,0.05492,-1.23779
243,1980-04-01,-0.57833,-1.64908
244,1980-05-01,-0.40395,-0.8719
245,1980-06-01,-0.4137,-0.87957
246,1980-07-01,-0.32311,-1.00114
247,1980-08-01,0.36365,0.59756
248,1980-09-01,0.26327,0.54832
249,1980-10-01,0.29912,0.22722
250,1980-11-01,0.34006,-0.04534
251,1980-12-01,0.2878,0.13609
252,1981-01-01,0.13813,-0.92865
253,1981-02-01,0.11517,-0.38866
254,1981-03-01,0.21268,0.89511
255,1981-04-01,0.14015,0.40946
256,1981-05-01,0.09997,-1.60852
257,1981-06-01,0.31026,-0.73682
258,1981-07-01,0.12611,-0.27836
259,1981-08-01,0.03845,-0.48849
260,1981-09-01,-0.01193,-0.56101
261,1981-10-01,-0.17894,-0.37612
262,1981-11-01,-0.28947,-0.68429
263,1981-12-01,-0.36089,-0.76028
264,1982-01-01,-0.39828,-2.58559
265,1982-02-01,0.03757,1.52372
266,1982-03-01,-0.19047,-0.55677
267,1982-04-01,-0.36285,-0.60857
268,1982-05-01,-0.04856,0.22043
269,1982-06-01,-0.34411,-1.51515
270,1982-07-01,-0.2952,-0.7196
271,1982-08-01,-0.26891,-0.59985
272,1982-09-01,-0.23559,-0.37717
273,1982-10-01,-0.42179,-0.55528
274,1982-11-01,-0.19465,0.17766
275,1982-12-01,-0.0261,0.02534
276,1983-01-01,0.24317,1.84904
277,1983-02-01,-0.07401,-1.41756
278,1983-03-01,0.2359,-0.55499
279,1983-04-01,0.39543,0.15221
280,1983-05-01,0.36116,0.30395
281,1983-06-01,0.49159,1.16162
282,1983-07-01,0.57432,1.22317
283,1983-08-01,-0.42055,1.10974
284,1983-09-01,1.47343,0.92683
285,1983-10-01,0.43747,0.96665
286,1983-11-01,0.45542,0.93346
287,1983-12-01,0.45336,0.73512
288,1984-01-01,0.57857,1.34181
289,1984-02-01,0.61177,2.43902
290,1984-03-01,0.34616,-0.38549
291,1984-04-01,0.41086,0.6829
292,1984-05-01,0.35771,0.7461
293,1984-06-01,0.45772,1.14452
294,1984-07-01,0.33822,0.59907
295,1984-08-01,0.24295,0.28672
296,1984-09-01,0.35656,0.63778
297,1984-10-01,0.33633,0.30594
298,1984-11-01,0.39821,0.58824
299,1984-12-01,0.19329,0.75807
300,1985-01-01,0.26433,0.34394
301,1985-02-01,0.14743,-0.12853
302,1985-03-01,0.36555,1.4586
303,1985-04-01,0.20013,0.71882
304,1985-05-01,0.28533,0.48279
305,1985-06-01,0.15216,0.04178
306,1985-07-01,0.08276,0.20881
307,1985-08-01,0.23819,0.5001
308,1985-09-01,0.229,0.60129
309,1985-10-01,0.21128,0.32976
310,1985-11-01,0.2329,0.22597
311,1985-12-01,0.17855,0.16397
312,1986-01-01,0.12452,0.42971
313,1986-02-01,0.08657,-0.0815
314,1986-03-01,0.11086,0.20392
315,1986-04-01,0.21538,0.7326
316,1986-05-01,0.12385,-0.52525
317,1986-06-01,-0.09944,-0.14216
318,1986-07-01,0.38603,0.26439
319,1986-08-01,0.11367,0.26369
320,1986-09-01,0.28507,-0.08092
321,1986-10-01,0.15417,0.30371
322,1986-11-01,0.1816,0.12111
323,1986-12-01,0.22208,0.66532
324,1987-01-01,0.17368,0.28039
325,1987-02-01,0.29893,0.61913
326,1987-03-01,0.25869,0.01985
327,1987-04-01,0.34483,0.27783
328,1987-05-01,0.2678,0.53434
329,1987-06-01,0.18909,0.11811
330,1987-07-01,0.36685,0.11797
331,1987-08-01,0.18922,0.19639
332,1987-09-01,0.30968,-0.1176
333,1987-10-01,0.41749,0.90267
334,1987-11-01,0.23757,0.19448
335,1987-12-01,0.27999,0.54348
336,1988-01-01,0.08573,-1.66023
337,1988-02-01,0.50586,1.3349
338,1988-03-01,0.24993,0.75552
339,1988-04-01,0.27343,0.4999
340,1988-05-01,0.23029,0.01913
341,1988-06-01,0.37722,0.63122
342,1988-07-01,0.27901,0.17107
343,1988-08-01,0.08404,-0.03795
344,1988-09-01,0.28254,0.03797
345,1988-10-01,0.25685,-0.1518
346,1988-11-01,0.29908,0.20905
347,1988-12-01,0.32744,0.07586
348,1989-01-01,0.25235,0.2274
349,1989-02-01,0.25507,-0.20798
350,1989-03-01,0.20532,-0.34104
351,1989-04-01,0.16927,0.6654
352,1989-05-01,0.09561,0.07554
353,1989-06-01,0.08663,-0.01887
354,1989-07-01,0.05437,0.35863
355,1989-08-01,-0.0366,0.2445
356,1989-09-01,0.2341,-0.13133
357,1989-10-01,0.1118,0.45087
358,1989-11-01,0.27863,0.31794
359,1989-12-01,0.07277,-1.02535
360,1990-01-01,0.3041,2.12846
361,1990-02-01,0.23946,-0.11066
362,1990-03-01,0.09534,-0.44313
363,1990-04-01,-0.05364,-0.6862
364,1990-05-01,-0.06463,-0.63492
365,1990-06-01,0.07344,-0.33828
366,1990-07-01,-0.04162,-0.54686
367,1990-08-01,-0.12163,-0.75844
368,1990-09-01,-0.0746,-0.70692
369,1990-10-01,-0.16907,-1.21224
370,1990-11-01,-0.17596,-0.75964
371,1990-12-01,-0.07271,-0.9421
372,1991-01-01,-0.14112,-1.48603
373,1991-02-01,-0.36102,-0.86484
374,1991-03-01,-0.18726,-0.97383
375,1991-04-01,-0.23757,-0.79902
376,1991-05-01,-0.12797,-0.86741
377,1991-06-01,0.02785,-0.375
378,1991-07-01,-0.09357,-0.62735
379,1991-08-01,0.04683,-0.39983
380,1991-09-01,0.06352,-0.10564
381,1991-10-01,-0.02562,-0.63452
382,1991-11-01,-0.10471,-1.23457
383,1991-12-01,0.02007,0.15086
384,1992-01-01,-0.01449,0.43039
385,1992-02-01,-0.06133,-1.17849
386,1992-03-01,0.02343,0.19514
387,1992-04-01,0.14613,-0.38953
388,1992-05-01,0.13255,0.04345
389,1992-06-01,0.06674,-0.45603
390,1992-07-01,0.03002,-0.30541
391,1992-08-01,0.06335,0.2407
392,1992-09-01,0.09662,0.06549
393,1992-10-01,0.20083,0.34904
394,1992-11-01,0.14506,0.13043
395,1992-12-01,0.20567,0.52106
396,1993-01-01,0.29683,0.73434
397,1993-02-01,0.27395,1.07204
398,1993-03-01,-0.06254,-0.80611
399,1993-04-01,0.29862,0.2994
400,1993-05-01,0.28679,1.34328
401,1993-06-01,0.17791,0.14728
402,1993-07-01,0.23752,0.48319
403,1993-08-01,0.19674,0.48087
404,1993-09-01,0.25276,0.35372
405,1993-10-01,0.29974,0.93303
406,1993-11-01,0.24814,0.3903
407,1993-12-01,0.31532,0.77757
408,1994-01-01,0.25425,0.30457
409,1994-02-01,0.19047,-0.34413
410,1994-03-01,0.44965,1.36096
411,1994-04-01,0.33386,1.14228
412,1994-05-01,0.31262,0.73311
413,1994-06-01,0.32115,0.2557
414,1994-07-01,0.36119,0.54934
415,1994-08-01,0.30114,0.27317
416,1994-09-01,0.33894,0.70053
417,1994-10-01,0.20434,0.03865
418,1994-11-01,0.40785,0.63743
419,1994-12-01,0.29118,0.3071
420,1995-01-01,0.33166,0.15308
421,1995-02-01,0.1833,-0.80245
422,1995-03-01,0.20044,0.96302
423,1995-04-01,0.1549,0.19077
424,1995-05-01,0.00102,-0.60929
425,1995-06-01,0.21304,0.57471
426,1995-07-01,0.10221,0.22857
427,1995-08-01,0.27568,0.4561
428,1995-09-01,0.24437,0.71888
429,1995-10-01,0.11681,0.5447
430,1995-11-01,0.14204,0.09341
431,1995-12-01,0.15602,-0.26129
432,1996-01-01,0.0091,0.20584
433,1996-02-01,0.38536,1.12045
434,1996-03-01,0.21058,0.57248
435,1996-04-01,0.184,0.51414
436,1996-05-01,0.32015,0.43844
437,1996-06-01,0.28211,0.65478
438,1996-07-01,0.22545,0.41561
439,1996-08-01,0.22793,0.52186
440,1996-09-01,0.13704,0.42965
441,1996-10-01,0.27173,0.58824
442,1996-11-01,0.27198,0.44303
443,1996-12-01,0.18741,0.1235
444,1997-01-01,0.19296,0.0
445,1997-02-01,0.30166,0.82819
446,1997-03-01,0.29781,0.50682
447,1997-04-01,0.29302,0.22605
448,1997-05-01,0.26198,0.50312
449,1997-06-01,0.2001,0.0
450,1997-07-01,0.26174,0.41429
451,1997-08-01,0.04738,0.49854
452,1997-09-01,0.40879,0.47896
453,1997-10-01,0.27719,0.15322
454,1997-11-01,0.27067,0.27197
455,1997-12-01,0.30344,0.66113
456,1998-01-01,0.24622,0.75783
457,1998-02-01,0.18088,0.234
458,1998-03-01,0.13209,-0.4669
459,1998-04-01,0.2458,1.34026
460,1998-05-01,0.32282,0.6282
461,1998-06-01,0.21421,0.70642
462,1998-07-01,0.07439,0.68515
463,1998-08-01,0.29169,0.69669
464,1998-09-01,0.16137,0.1609
465,1998-10-01,0.17703,0.59438
466,1998-11-01,0.21599,0.6228
467,1998-12-01,0.31722,1.22203
468,1999-01-01,0.09301,-0.32926
469,1999-02-01,0.32894,1.13261
470,1999-03-01,0.08521,-0.41997
471,1999-04-01,0.27298,1.21837
472,1999-05-01,0.20303,0.55556
473,1999-06-01,0.21643,0.47575
474,1999-07-01,0.24537,0.36658
475,1999-08-01,0.10176,0.22828
476,1999-09-01,0.16759,0.40996
477,1999-10-01,0.31542,0.40829
478,1999-11-01,0.22603,0.70783
479,1999-12-01,0.24552,0.329
480,2000-01-01,0.17961,0.64093
481,2000-02-01,0.07516,-0.32583
482,2000-03-01,0.31759,1.20357
483,2000-04-01,0.18941,-0.2496
484,2000-05-01,-0.11073,-0.35325
485,2000-06-01,0.19286,0.11817
486,2000-07-01,0.16731,0.23606
487,2000-08-01,0.03143,0.02944
488,2000-09-01,0.20378,0.16186
489,2000-10-01,-0.01075,0.10284
490,2000-11-01,0.16486,0.04403
491,2000-12-01,0.10824,-0.36673
492,2001-01-01,-0.04557,0.47114
493,2001-02-01,0.0143,0.24912
494,2001-03-01,-0.06346,0.30697
495,2001-04-01,-0.30767,-0.26231
496,2001-05-01,-0.07267,0.07306
497,2001-06-01,-0.20111,-0.13141
498,2001-07-01,-0.15563,0.0731
499,2001-08-01,-0.16218,-0.26297
500,2001-09-01,-0.2554,-0.20507
501,2001-10-01,-0.31306,-0.1321
502,2001-11-01,-0.32765,-0.29394
503,2001-12-01,-0.16937,0.01474
504,2002-01-01,-0.14138,-0.14738
505,2002-02-01,-0.12149,-0.13284
506,2002-03-01,-0.04756,-0.16258
507,2002-04-01,-0.10614,-0.66617
508,2002-05-01,-0.05038,-0.38748
509,2002-06-01,0.01375,0.25434
510,2002-07-01,-0.08705,-0.194
511,2002-08-01,-0.0376,0.19438
512,2002-09-01,-0.0422,0.01492
513,2002-10-01,0.10096,-0.19397
514,2002-11-01,-0.02292,0.3588
515,2002-12-01,-0.14215,-0.19365
516,2003-01-01,0.06521,0.0597
517,2003-02-01,-0.12299,-0.55191
518,2003-03-01,-0.18012,-0.19499
519,2003-04-01,-0.03867,0.526
520,2003-05-01,0.04513,0.25415
521,2003-06-01,-0.0405,0.2535
522,2003-07-01,-0.03315,0.17849
523,2003-08-01,0.0433,0.3712
524,2003-09-01,0.13905,0.34024
525,2003-10-01,0.1223,0.01474
526,2003-11-01,0.06062,0.17689
527,2003-12-01,0.09362,0.45615
528,2004-01-01,0.16323,0.3076
529,2004-02-01,0.0412,-0.14603
530,2004-03-01,0.25533,0.71658
531,2004-04-01,0.22364,0.20328
532,2004-05-01,0.25866,0.68106
533,2004-06-01,0.09811,0.2015
534,2004-07-01,0.04991,0.21546
535,2004-08-01,0.06077,0.37265
536,2004-09-01,0.1242,0.37127
537,2004-10-01,0.29879,0.68289
538,2004-11-01,0.03611,0.19782
539,2004-12-01,0.11099,0.36666
540,2005-01-01,0.09284,-0.30912
541,2005-02-01,0.22154,0.81748
542,2005-03-01,0.11142,0.39144
543,2005-04-01,0.31325,1.18368
544,2005-05-01,0.12885,0.38536
545,2005-06-01,0.24217,0.53469
546,2005-07-01,0.23445,0.27274
547,2005-08-01,0.17076,0.5576
548,2005-09-01,0.0657,0.28401
549,2005-10-01,0.09671,0.60688
550,2005-11-01,0.28986,0.85791
551,2005-12-01,0.12374,0.11962
552,2006-01-01,0.26129,0.90269
553,2006-02-01,0.24212,0.82884
554,2006-03-01,0.24944,0.3262
555,2006-04-01,0.1358,0.48121
556,2006-05-01,0.02537,-0.16826
557,2006-06-01,0.07435,-0.18151
558,2006-07-01,0.12499,0.16885
559,2006-08-01,0.11174,0.10373
560,2006-09-01,0.05668,-0.02591
561,2006-10-01,0.03312,-0.46644
562,2006-11-01,0.17947,-0.20828
563,2006-12-01,0.15567,0.24785
564,2007-01-01,0.18756,0.52049
565,2007-02-01,0.0364,-1.28155
566,2007-03-01,0.18107,1.04904
567,2007-04-01,0.03113,-0.25954
568,2007-05-01,0.11412,-0.16914
569,2007-06-01,0.05613,0.18246
570,2007-07-01,0.00518,-0.35124
571,2007-08-01,-0.06904,-0.65274
572,2007-09-01,0.0285,-0.43364
573,2007-10-01,0.04576,-0.15837
574,2007-11-01,0.0699,-0.55519
575,2007-12-01,0.05519,-0.43865
576,2008-01-01,-0.00948,-0.18692
577,2008-02-01,-0.09051,-0.30765
578,2008-03-01,-0.0811,-0.63062
579,2008-04-01,-0.19342,-1.0667
