,Unnamed: 0,Month,Fedfund_rate,GDP_pch,CPI_pc1,Loan_pch,House_ch
0,0,1960-01-01,3.99,2.65759,1.24095,10.2,-197.0
1,1,1960-02-01,3.97,1.6754099999999998,1.41379,10.1,-164.0
2,2,1960-03-01,3.84,0.69323,1.51881,6.7,-511.0
3,3,1960-04-01,3.92,-0.28895,1.93237,6.6,-301.0
4,4,1960-05-01,3.85,0.0860699999999999,1.82507,3.3,-227.0
5,5,1960-06-01,3.32,0.4610899999999999,1.71762,6.6,-256.0
6,6,1960-07-01,3.23,0.83611,1.37221,9.8,-350.0
7,7,1960-08-01,2.98,0.2270700000000001,1.47361,9.7,-86.0
8,8,1960-09-01,2.6,-0.3819699999999998,1.23077,6.4,-443.0
9,9,1960-10-01,2.47,-0.99101,1.36286,6.4,-109.0
10,10,1960-11-01,2.44,-0.36319,1.46508,3.2,-170.0
11,11,1960-12-01,1.98,0.2646299999999999,1.36008,9.5,-538.0
12,12,1961-01-01,1.45,0.89245,1.60027,0.0,-277.0
13,13,1961-02-01,2.54,1.2388,1.46209,25.2,-277.0
14,14,1961-03-01,2.02,1.58515,1.46209,18.5,203.0
15,15,1961-04-01,1.49,1.9315,0.91401,-12.2,-123.0
16,16,1961-05-01,1.98,2.01482,0.91309,-6.1,-43.0
17,17,1961-06-01,1.73,2.09814,0.77676,0.0,135.0
18,18,1961-07-01,1.17,2.18146,1.25212,6.2,138.0
19,19,1961-08-01,2.0,2.2146166666666667,1.11449,3.1,-32.0
20,20,1961-09-01,1.88,2.2477733333333334,1.24958,-3.1,332.0
21,21,1961-10-01,2.26,2.28093,0.77311,6.1,169.0
22,22,1961-11-01,2.61,2.28998,0.67159,6.1,139.0
23,23,1961-12-01,2.33,2.29903,0.67092,3.0,302.0
24,24,1962-01-01,2.15,2.30808,0.67024,12.1,178.0
25,25,1962-02-01,2.37,1.8952233333333333,0.90483,6.0,52.0
26,26,1962-03-01,2.85,1.4823666666666666,1.1059,11.9,131.0
27,27,1962-04-01,2.78,1.06951,1.34183,3.0,358.0
28,28,1962-05-01,2.36,1.19388,1.34048,5.9,255.0
29,29,1962-06-01,2.68,1.31825,1.23995,11.7,22.0
30,30,1962-07-01,2.71,1.44262,1.00267,8.7,115.0
31,31,1962-08-01,2.93,1.13979,1.1356,8.7,205.0
32,32,1962-09-01,2.9,0.83696,1.46765,5.7,-105.0
33,33,1962-10-01,2.9,0.53413,1.33422,8.6,118.0
34,34,1962-11-01,2.94,0.8674,1.33422,5.7,237.0
35,35,1962-12-01,2.93,1.20067,1.23292,2.8,199.0
36,36,1963-01-01,2.92,1.53394,1.33156,11.2,-117.0
37,37,1963-02-01,3.0,1.4558666666666666,1.22883,13.9,178.0
38,38,1963-03-01,2.98,1.3777933333333334,1.12695,11.0,91.0
39,39,1963-04-01,2.9,1.29972,0.89374,8.2,165.0
40,40,1963-05-01,3.0,1.64414,0.89286,8.1,158.0
41,41,1963-06-01,2.99,1.98856,1.32406,8.1,184.0
42,42,1963-07-01,3.02,2.33298,1.55526,10.7,164.0
43,43,1963-08-01,3.49,2.04639,1.55218,-7.9,122.0
44,44,1963-09-01,3.48,1.7597999999999998,0.98619,18.7,439.0
45,45,1963-10-01,3.5,1.47321,1.21791,31.5,246.0
