DATE,CPIAUCSL_PCH
2005-02-01,0.41754
2005-03-01,0.36383
2005-04-01,0.31072
2005-05-01,-0.05163
2005-06-01,0.05165
2005-07-01,0.61951
2005-08-01,0.61570
2005-09-01,1.37685
2005-10-01,0.15091
2005-11-01,-0.50226
2005-12-01,0.00000
2006-01-01,0.60575
2006-02-01,0.05018
2006-03-01,0.15045
2006-04-01,0.50075
2006-05-01,0.29895
2006-06-01,0.24839
2006-07-01,0.54509
2006-08-01,0.44357
2006-09-01,-0.49068
2006-10-01,-0.44379
2006-11-01,0.04953
2006-12-01,0.54455
2007-01-01,0.16593
2007-02-01,0.38784
2007-03-01,0.52001
2007-04-01,0.30007
2007-05-01,0.41330
2007-06-01,0.23168
2007-07-01,0.17806
2007-08-01,0.03083
2007-09-01,0.42376
2007-10-01,0.30832
2007-11-01,0.78589
2007-12-01,0.28980
2008-01-01,0.34477
2008-02-01,0.24178
2008-03-01,0.35780
2008-04-01,0.23144
2008-05-01,0.59175
2008-06-01,1.04782
2008-07-01,0.71414
2008-08-01,-0.14885
2008-09-01,0.08551
2008-10-01,-0.85984
2008-11-01,-1.77055
2008-12-01,-0.82335
2009-01-01,0.25308
2009-02-01,0.36427
2009-03-01,-0.09873
2009-04-01,0.10071
2009-05-01,0.14715
2009-06-01,0.82996
2009-07-01,-0.02980
2009-08-01,0.33485
2009-09-01,0.19309
2009-10-01,0.30019
2009-11-01,0.33486
2009-12-01,0.05202
2010-01-01,0.06487
2010-02-01,-0.09518
2010-03-01,0.03314
2010-04-01,0.02300
2010-05-01,-0.05198
2010-06-01,-0.04188
2010-07-01,0.18693
2010-08-01,0.14614
2010-09-01,0.16152
2010-10-01,0.34818
2010-11-01,0.25338
2010-12-01,0.40166
2011-01-01,0.32430
2011-02-01,0.32145
2011-03-01,0.51735
2011-04-01,0.46941
2011-05-01,0.31817
2011-06-01,0.00000
2011-07-01,0.26200
2011-08-01,0.31545
2011-09-01,0.21715
2011-10-01,0.06752
2011-11-01,0.18479
2011-12-01,0.02377
2012-01-01,0.27242
2012-02-01,0.21374
2012-03-01,0.20935
2012-04-01,0.16608
2012-05-01,-0.20682
2012-06-01,-0.08264
2012-07-01,0.02888
2012-08-01,0.58095
2012-09-01,0.47713
2012-10-01,0.26968
2012-11-01,-0.16793
2012-12-01,-0.01211
2013-01-01,0.19808
2013-02-01,0.54299
2013-03-01,-0.28119
2013-04-01,-0.20880
2013-05-01,0.04142
2013-06-01,0.23804
2013-07-01,0.19575
2013-08-01,0.23873
2013-09-01,0.03769
2013-10-01,0.05352
2013-11-01,0.18445
2013-12-01,0.26442
2014-01-01,0.24242
2014-02-01,0.11008
2014-03-01,0.20421
2014-04-01,0.18642
2014-05-01,0.19030
2014-06-01,0.13211
2014-07-01,0.11255
2014-08-01,-0.01600
2014-09-01,0.00716
2014-10-01,-0.01979
2014-11-01,-0.18827
2014-12-01,-0.30846
2015-01-01,-0.63703
2015-02-01,0.25346
2015-03-01,0.26940
2015-04-01,0.10425
2015-05-01,0.32977
2015-06-01,0.27679
2015-07-01,0.15863
2015-08-01,-0.00042
2015-09-01,-0.22476
2015-10-01,0.09895
2015-11-01,0.11946
2015-12-01,-0.10756
2016-01-01,-0.04584
2016-02-01,-0.13297
2016-03-01,0.31348
2016-04-01,0.38306
2016-05-01,0.23641
2016-06-01,0.27760
2016-07-01,-0.05037
2016-08-01,0.18492
2016-09-01,0.26232
2016-10-01,0.23427
2016-11-01,0.11789
2016-12-01,0.25245
2017-01-01,0.40431
2017-02-01,0.15927
2017-03-01,-0.04672
2017-04-01,0.12342
2017-05-01,-0.07740
2017-06-01,0.06516
2017-07-01,0.03276
2017-08-01,0.38486
2017-09-01,0.51064
2017-10-01,0.07751
2017-11-01,0.26680
2017-12-01,0.21069
2018-01-01,0.42533
2018-02-01,0.26923
2018-03-01,0.01924
2018-04-01,0.26044
2018-05-01,0.22579
2018-06-01,0.09011
2018-07-01,0.07808
2018-08-01,0.17873
2018-09-01,0.20623
2018-10-01,0.23396
2018-11-01,-0.07042
2018-12-01,0.06849
2019-01-01,-0.01939
2019-02-01,0.23900
2019-03-01,0.34738
2019-04-01,0.39693
2019-05-01,0.03095
2019-06-01,-0.05131
2019-07-01,0.20615
2019-08-01,0.14627
2019-09-01,0.17652
2019-10-01,0.28576
2019-11-01,0.21730
2019-12-01,0.31536
2020-01-01,0.16279
2020-02-01,0.08146
2020-03-01,-0.43356
2020-04-01,-0.78722
2020-05-01,-0.08747
2020-06-01,0.43694
2020-07-01,0.50275
2020-08-01,0.43867
2020-09-01,0.23823
2020-10-01,0.09884
2020-11-01,0.20247
2020-12-01,0.46853
2021-01-01,0.23470
2021-02-01,0.37617
2021-03-01,0.48400
2021-04-01,0.66286
2021-05-01,0.66524
2021-06-01,0.78787
2021-07-01,0.44537
2021-08-01,0.40697
2021-09-01,0.42438
2021-10-01,0.91013
2021-11-01,0.79162
2021-12-01,0.78074
2022-01-01,0.60950
2022-02-01,0.71161
2022-03-01,1.00559
2022-04-01,0.39621
2022-05-01,0.92062
2022-06-01,1.18791
2022-07-01,-0.03393
2022-08-01,0.23487
2022-09-01,0.41277
2022-10-01,0.48830
2022-11-01,0.20504
2022-12-01,0.13128
2023-01-01,0.51707
2023-02-01,0.37001
2023-03-01,0.05304
2023-04-01,0.36778
2023-05-01,0.12413
2023-06-01,0.18035
2023-07-01,0.16686
2023-08-01,0.63119
2023-09-01,0.39573
