,Month,Total_private_pch,Construction_pch,Unemploy_rate
0,1960-01-01,0.35148,-1.20994,5.2
1,1960-02-01,0.4786,1.05925,4.8
2,1960-03-01,-0.5586,-5.6338,5.4
3,1960-04-01,0.76205,4.26935,5.2
4,1960-05-01,-0.50995,0.56591,5.1
5,1960-06-01,-0.27583,-0.72824,5.4
6,1960-07-01,-0.11325,0.10003,5.5
7,1960-08-01,-0.13954,-0.96602,5.6
8,1960-09-01,-0.14629,-0.4709,5.5
9,1960-10-01,-0.20335,-0.10139,6.1
10,1960-11-01,-0.42726,-0.67659,6.1
11,1960-12-01,-0.66014,-2.52044,6.6
12,1961-01-01,-0.05759,1.64221,6.6
13,1961-02-01,-0.33024,-0.7219,6.9
14,1961-03-01,0.17345,0.76177,6.9
15,1961-04-01,-0.11099,-0.92784,7.0
16,1961-05-01,0.27557,-0.58966,7.1
17,1961-06-01,0.37011,1.43057,6.9
18,1961-07-01,0.24288,-0.82559,7.0
19,1961-08-01,0.29736,0.65904,6.6
20,1961-09-01,0.12738,0.55134,6.7
21,1961-10-01,0.27417,0.58259,6.5
22,1961-11-01,0.46591,0.20443,6.1
23,1961-12-01,0.23079,0.34002,6.0
24,1962-01-01,0.00869,-1.99932,5.8
25,1962-02-01,0.58645,2.86999,5.5
26,1962-03-01,0.1382,-1.14286,5.6
27,1962-04-01,0.65985,2.61816,5.6
28,1962-05-01,-0.02142,0.23194,5.5
29,1962-06-01,-0.05571,-2.14876,5.5
30,1962-07-01,0.16294,2.19595,5.4
31,1962-08-01,0.11772,0.06612,5.7
32,1962-09-01,0.24372,0.19822,5.6
33,1962-10-01,0.08104,-0.06594,5.4
34,1962-11-01,-0.0341,0.13197,5.7
35,1962-12-01,-0.01919,-0.88962,5.5
36,1963-01-01,0.01919,0.43218,5.7
37,1963-02-01,0.18759,-0.79444,5.9
38,1963-03-01,0.16171,-0.6006,5.7
39,1963-04-01,0.51195,2.24908,5.7
40,1963-05-01,0.02536,0.49245,5.9
41,1963-06-01,0.06127,-0.03267,5.6
42,1963-07-01,0.2175,0.91503,5.6
43,1963-08-01,0.17278,0.35622,5.4
44,1963-09-01,0.2503,0.35495,5.5
45,1963-10-01,0.30004,-0.19293,5.5
46,1963-11-01,-0.06903,-0.67655,5.7
47,1963-12-01,0.19468,-0.03244,5.5
48,1964-01-01,0.12744,-2.7904,5.6
49,1964-02-01,0.51539,4.53939,5.4
50,1964-03-01,0.23665,-0.2235,5.4
51,1964-04-01,-0.01657,-0.384,5.3
52,1964-05-01,0.29206,0.38548,5.1
53,1964-06-01,0.27055,0.704,5.2
54,1964-07-01,0.38105,0.31776,4.9
55,1964-08-01,0.31189,0.28508,5.0
56,1964-09-01,0.47047,0.15793,5.1
57,1964-10-01,-0.34408,0.91454,5.1
58,1964-11-01,0.79881,0.8125,4.8
59,1964-12-01,0.37496,0.21699,5.0
60,1965-01-01,0.24433,-0.06186,4.9
61,1965-02-01,0.36459,-0.1857,5.1
62,1965-03-01,0.33517,0.49612,4.7
63,1965-04-01,0.43006,-1.26504,4.8
64,1965-05-01,0.37643,2.15625,4.6
65,1965-06-01,0.3274,0.3059,4.6
66,1965-07-01,0.39951,-0.91491,4.4
67,1965-08-01,0.38019,1.66205,4.4
68,1965-09-01,0.38268,0.51468,4.3
69,1965-10-01,0.36949,0.60241,4.2
70,1965-11-01,0.42656,0.7485,4.1
71,1965-12-01,0.51009,1.21842,4.0
