,DATE,borrowings_pc,consumer_loans_pc,commercial_loans_pc
0,2003-09-01,-2.84935,-3.5,-12.6
1,2003-10-01,-0.52739,1.5,-16.5
2,2003-11-01,-0.33504,5.3,-6.6
3,2003-12-01,1.21509,-1.5,-10.3
4,2004-01-01,4.00976,6.8,-15.7
5,2004-02-01,3.68908,2.3,-2.4
6,2004-03-01,-1.59416,5.5,-6.9
7,2004-04-01,1.2689,7.9,-3.6
8,2004-05-01,-1.52459,6.3,0.0
9,2004-06-01,2.27403,1.3,8.1
10,2004-07-01,2.4337,3.9,11.9
11,2004-08-01,-1.24762,-0.3,5.9
12,2004-09-01,0.58415,0.3,5.4
13,2004-10-01,0.25634,-2.5,3.5
14,2004-11-01,-0.81604,6.0,10.9
15,2004-12-01,-1.27694,9.0,10.8
16,2005-01-01,-0.59348,0.3,17.4
17,2005-02-01,0.70049,1.5,13.3
18,2005-03-01,1.26278,3.5,18.0
19,2005-04-01,0.09088,-0.4,16.1
20,2005-05-01,1.12335,-1.4,12.6
21,2005-06-01,-0.82315,-0.3,8.0
22,2005-07-01,0.61818,5.9,16.3
23,2005-08-01,1.85943,6.4,7.3
24,2005-09-01,0.14968,6.4,6.3
25,2005-10-01,-0.67795,2.6,16.4
26,2005-11-01,1.05613,-1.0,9.5
27,2005-12-01,2.95298,0.0,14.8
28,2006-01-01,1.27449,2.8,15.1
29,2006-02-01,1.68318,4.1,10.7
30,2006-03-01,0.25008,4.1,11.5
31,2006-04-01,-0.40885,5.4,17.8
32,2006-05-01,1.64957,7.8,20.1
33,2006-06-01,0.75333,4.5,22.3
34,2006-07-01,-0.89659,5.6,17.7
35,2006-08-01,-0.57,7.4,22.2
36,2006-09-01,2.31258,4.9,-1.5
37,2006-10-01,3.72001,6.1,7.3
38,2006-11-01,1.52831,4.5,8.8
39,2006-12-01,1.07141,6.4,12.7
40,2007-01-01,1.04557,4.8,10.0
41,2007-02-01,0.41107,4.8,12.7
42,2007-03-01,0.23321,3.8,10.6
43,2007-04-01,0.83888,5.2,10.0
44,2007-05-01,-0.62726,4.6,17.5
45,2007-06-01,1.88159,6.2,15.7
46,2007-07-01,2.01257,2.2,10.5
47,2007-08-01,1.81169,7.4,24.1
48,2007-09-01,2.03707,6.8,37.4
49,2007-10-01,-0.79327,4.2,22.3
50,2007-11-01,1.227,8.6,15.9
51,2007-12-01,2.02948,5.4,20.4
52,2008-01-01,0.26362,3.3,20.4
53,2008-02-01,0.85426,7.4,12.2
54,2008-03-01,1.15254,9.3,17.5
55,2008-04-01,0.8198,8.3,15.7
56,2008-05-01,1.02556,6.7,1.0
57,2008-06-01,-0.203,4.0,5.7
58,2008-07-01,0.93223,6.7,11.0
59,2008-08-01,-0.03657,3.4,4.2
60,2008-09-01,0.81709,2.5,15.5
61,2008-10-01,11.3752,4.1,41.9
62,2008-11-01,0.57729,-2.0,-9.2
63,2008-12-01,-3.95253,-3.3,-17.3
64,2009-01-01,-2.48981,15.7,-10.6
65,2009-02-01,-0.03278,7.7,-9.3
66,2009-03-01,1.04361,-5.9,-16.8
67,2009-04-01,-0.94761,-5.1,-16.2
68,2009-05-01,-0.16677,-3.1,-18.4
69,2009-06-01,-1.6225,-11.5,-26.6
70,2009-07-01,-4.13862,-7.1,-34.0
71,2009-08-01,-4.29899,-6.2,-28.4
72,2009-09-01,-3.61713,-6.2,-23.8
73,2009-10-01,-2.85789,-4.4,-27.0
74,2009-11-01,-1.37203,-12.7,-17.8
75,2009-12-01,-1.63148,-11.2,-22.9
76,2010-01-01,-17.43149,-4.3,-24.8
77,2010-02-01,-1.95552,-9.3,-14.5
78,2010-03-01,0.98216,-15.3,-17.6
79,2010-04-01,13.9641,-14.8,-18.9
80,2010-05-01,-3.35743,-9.5,-8.9
81,2010-06-01,-2.28375,-9.8,-6.4
82,2010-07-01,-2.00122,-3.9,-1.2
83,2010-08-01,0.42199,-3.2,-1.2
84,2010-09-01,-1.48245,-12.5,-1.8
85,2010-10-01,-0.3161,-8.0,-1.8
86,2010-11-01,-2.20666,-5.8,2.0
87,2010-12-01,-0.27484,-0.5,5.2
88,2011-01-01,-4.82197,-10.7,3.7
89,2011-02-01,-0.6946,-5.1,3.7
90,2011-03-01,0.21483,0.5,7.0
91,2011-04-01,-2.53234,2.8,7.0
92,2011-05-01,-3.24303,-2.3,13.4
93,2011-06-01,-0.46783,4.2,4.6
94,2011-07-01,-0.98809,-1.3,10.1
95,2011-08-01,-0.84582,-1.2,18.0
96,2011-09-01,-1.54462,-2.1,6.1
97,2011-10-01,-1.30923,-3.3,9.4
