,Month,Del_deficit_mil
1,1980-11-01,8014.0
2,1980-12-01,6942.0
3,1981-01-01,-10227.0
4,1981-02-01,-3428.0
5,1981-03-01,6038.0
6,1981-04-01,26772.0
7,1981-05-01,-33361.0
8,1981-06-01,31534.0
9,1981-07-01,-25706.0
10,1981-08-01,5224.0
11,1981-09-01,11454.0
12,1981-10-01,-24440.0
13,1981-11-01,7463.0
14,1981-12-01,-8826.0
15,1982-01-01,28807.0
16,1982-02-01,-24119.0
17,1982-03-01,-3475.0
18,1982-04-01,27959.0
19,1982-05-01,-28634.0
20,1982-06-01,25654.0
21,1982-07-01,-26555.0
22,1982-08-01,5127.0
23,1982-09-01,12996.0
24,1982-10-01,-24461.0
25,1982-11-01,2011.0
26,1982-12-01,6220.0
27,1983-01-01,8356.0
28,1983-02-01,-15754.0
29,1983-03-01,-700.0
30,1983-04-01,22728.0
31,1983-05-01,-25977.0
32,1983-06-01,32686.0
33,1983-07-01,-24813.0
34,1983-08-01,3935.0
35,1983-09-01,19423.0
36,1983-10-01,-27015.0
37,1983-11-01,3478.0
38,1983-12-01,4930.0
39,1984-01-01,11146.0
40,1984-02-01,-14866.0
41,1984-03-01,-8174.0
42,1984-04-01,40048.0
43,1984-05-01,-45425.0
44,1984-06-01,31932.0
45,1984-07-01,-14416.0
46,1984-08-01,-17082.0
47,1984-09-01,50283.0
48,1984-10-01,-44794.0
49,1984-11-01,-887.0
50,1984-12-01,14328.0
51,1985-01-01,6576.0
52,1985-02-01,-13061.0
53,1985-03-01,-8449.0
54,1985-04-01,40888.0
55,1985-05-01,-53383.0
56,1985-06-01,40589.0
57,1985-07-01,-20125.0
58,1985-08-01,-6064.0
59,1985-09-01,26833.0
60,1985-10-01,-26323.0
61,1985-11-01,-6299.0
62,1985-12-01,18730.0
63,1986-01-01,8164.0
64,1986-02-01,-18088.0
65,1986-03-01,-5562.0
66,1986-04-01,40070.0
67,1986-05-01,-49324.0
68,1986-06-01,38352.0
69,1986-07-01,-21260.0
70,1986-08-01,-5752.0
71,1986-09-01,24130.0
72,1986-10-01,-21364.0
73,1986-11-01,-1797.0
74,1986-12-01,14718.0
75,1987-01-01,10212.0
76,1987-02-01,-26222.0
77,1987-03-01,448.0
78,1987-04-01,66673.0
79,1987-05-01,-74379.0
80,1987-06-01,35014.0
81,1987-07-01,-21716.0
82,1987-08-01,543.0
83,1987-09-01,37000.0
84,1987-10-01,-46014.0
85,1987-11-01,3788.0
86,1987-12-01,2659.0
87,1988-01-01,40259.0
88,1988-02-01,-39961.0
89,1988-03-01,-5218.0
90,1988-04-01,43052.0
91,1988-05-01,-36352.0
92,1988-06-01,31717.0
93,1988-07-01,-32052.0
94,1988-08-01,-161.0
95,1988-09-01,33252.0
96,1988-10-01,-37178.0
97,1988-11-01,-2135.0
98,1988-12-01,16350.0
99,1989-01-01,15587.0
100,1989-02-01,-30668.0
