DATE,H8B3094NCBA_CH1
1974-01-01,7213.3200000000000000
1974-02-01,5321.6250000000000000
1974-03-01,4400.0750000000000000
1974-04-01,4920.1000000000000000
1974-05-01,5479.4800000000000000
1974-06-01,5395.1250000000000000
1974-07-01,4934.200000000000
1974-08-01,4890.215000000000
1974-09-01,4803.400000000000
1974-10-01,6124.160000000000
1974-11-01,4733.950000000000
1974-12-01,4266.850000000000
1975-01-01,4320.240000000000
1975-02-01,3767.925000000000
1975-03-01,3769.050000000000
1975-04-01,3301.350000000000
1975-05-01,1896.180000000000
1975-06-01,1649.575000000000
1975-07-01,353.040000000000
1975-08-01,-1140.575000000000
1975-09-01,-1016.725000000000
1975-10-01,-1362.080000000000
1975-11-01,370.500000000000
1975-12-01,1221.610000000000
1976-01-01,-18.650000000000
1976-02-01,637.100000000000
1976-03-01,428.890000000000
1976-04-01,227.650000000000
1976-05-01,-139.300000000000
1976-06-01,532.545000000000
1976-07-01,563.660000000000
1976-08-01,710.575000000000
1976-09-01,1261.680000000000
1976-10-01,714.660000000000
1976-11-01,506.250000000000
1976-12-01,1879.260000000000
1977-01-01,3243.125000000000
1977-02-01,3400.400000000000
1977-03-01,4079.360000000000
1977-04-01,4549.375000000000
1977-05-01,5600.175000000000
1977-06-01,5230.860000000000
1977-07-01,5337.250000000000
1977-08-01,6131.685000000000
1977-09-01,5861.645000000000
1977-10-01,5834.625000000000
1977-11-01,6531.395000000000
1977-12-01,6568.980000000000
1978-01-01,6992.600000000000
1978-02-01,6632.725000000000
1978-03-01,7309.560000000000
1978-04-01,7711.700000000000
1978-05-01,10373.105000000000
1978-06-01,10326.370000000000
1978-07-01,10392.900000000000
1978-08-01,10176.980000000000
1978-09-01,10085.650000000000
1978-10-01,11259.100000000000
1978-11-01,12103.100000000000
1978-12-01,12592.150000000000
1979-01-01,106590.105000000000
1979-02-01,109010.775000000000
1979-03-01,112028.040000000000
1979-04-01,114687.450000000000
1979-05-01,116970.980000000000
1979-06-01,123156.550000000000
1979-07-01,128989.825000000000
1979-08-01,132474.920000000000
1979-09-01,138810.150000000000
1979-10-01,136654.815000000000
