DATE,USCONS_PCH
1939-02-01,2.01932
1939-03-01,5.42169
1939-04-01,1.95918
1939-05-01,1.04083
1939-06-01,0.15848
1939-07-01,-3.40190
1939-08-01,1.22850
1939-09-01,-2.66990
1939-10-01,-1.41313
1939-11-01,-1.18044
1939-12-01,-2.55973
1940-01-01,-1.83888
1940-02-01,5.08475
1940-03-01,3.05603
1940-04-01,5.10708
1940-05-01,1.72414
1940-06-01,-0.61633
1940-07-01,-1.39535
1940-08-01,1.10063
1940-09-01,7.23173
1940-10-01,9.20957
1940-11-01,8.03453
1940-12-01,9.21942
1941-01-01,3.15138
1941-02-01,-0.70922
1941-03-01,-4.45055
1941-04-01,1.89764
1941-05-01,0.67720
1941-06-01,0.39238
1941-07-01,5.02513
1941-08-01,1.96704
1941-09-01,1.09489
1941-10-01,-0.20629
1941-11-01,-1.03359
1941-12-01,-0.62663
1942-01-01,0.57803
1942-02-01,-0.73145
1942-03-01,7.47368
1942-04-01,6.26836
1942-05-01,4.65438
1942-06-01,4.79965
1942-07-01,4.78992
1942-08-01,-0.64154
1942-09-01,-1.81598
1942-10-01,-3.32922
1942-11-01,-3.91156
1942-12-01,-5.48673
1943-01-01,-3.37079
1943-02-01,-2.03488
1943-03-01,-3.36301
1943-04-01,-5.11771
1943-05-01,-6.31068
1943-06-01,-5.64191
1943-07-01,-7.50458
1943-08-01,-5.47493
1943-09-01,-5.30356
1943-10-01,-1.69492
1943-11-01,-1.04948
1943-12-01,-0.30303
1944-01-01,0.53191
1944-02-01,-1.73847
1944-03-01,-4.84615
1944-04-01,-5.25465
1944-05-01,-1.96246
1944-06-01,-2.26284
1944-07-01,-1.78094
1944-08-01,-1.99456
1944-09-01,-4.16281
1944-10-01,4.72973
1944-11-01,0.92166
1944-12-01,1.64384
1945-01-01,2.69542
1945-02-01,4.19948
1945-03-01,-1.00756
1945-04-01,-2.62935
1945-05-01,-0.87108
1945-06-01,-0.43937
1945-07-01,0.97087
1945-08-01,1.31119
1945-09-01,-1.38050
1945-10-01,7.69904
1945-11-01,4.87409
1945-12-01,3.48567
1946-01-01,6.36228
1946-02-01,5.62984
1946-03-01,5.32978
1946-04-01,3.66856
1946-05-01,2.44051
1946-06-01,1.07207
1946-07-01,3.77136
1946-08-01,2.66894
1946-09-01,1.54867
1946-10-01,2.12418
1946-11-01,1.38667
1946-12-01,1.57812
1947-01-01,-0.20715
1947-02-01,1.71251
1947-03-01,0.61224
1947-04-01,1.01420
1947-05-01,1.15462
1947-06-01,3.02730
1947-07-01,0.04817
1947-08-01,0.86663
1947-09-01,-0.04773
1947-10-01,0.71633
1947-11-01,-0.37933
1947-12-01,1.38030
1948-01-01,2.30047
1948-02-01,-3.39605
1948-03-01,2.75534
1948-04-01,1.80305
1948-05-01,1.95277
1948-06-01,1.55902
1948-07-01,0.17544
1948-08-01,-0.65674
1948-09-01,-0.22036
1948-10-01,-0.04417
1948-11-01,0.75122
1948-12-01,1.14035
1949-01-01,-0.60711
1949-02-01,-0.74171
1949-03-01,-0.48352
1949-04-01,-0.92756
1949-05-01,-0.49041
1949-06-01,-1.56810
1949-07-01,0.22758
1949-08-01,0.27248
1949-09-01,0.67935
1949-10-01,-0.22492
1949-11-01,0.49594
1949-12-01,-0.98699
1950-01-01,0.40779
1950-02-01,0.54152
1950-03-01,0.58348
1950-04-01,2.32039
1950-05-01,2.26777
1950-06-01,2.68657
1950-07-01,1.91030
1950-08-01,1.50774
1950-09-01,0.84303
1950-10-01,1.35350
1950-11-01,0.70699
1950-12-01,-0.85803
1951-01-01,2.63572
1951-02-01,0.72825
1951-03-01,1.59817
1951-04-01,0.97378
1951-05-01,0.55638
1951-06-01,-0.70085
1951-07-01,0.00000
1951-08-01,-0.11144
1951-09-01,-0.55783
1951-10-01,0.93493
1951-11-01,-1.44498
1951-12-01,1.35338
1952-01-01,-0.07418
1952-02-01,2.22717
1952-03-01,-2.28758
1952-04-01,-0.11148
1952-05-01,-0.03720
1952-06-01,1.11649
1952-07-01,-0.14722
1952-08-01,0.18430
1952-09-01,0.18396
1952-10-01,-1.02828
1952-11-01,0.44527
1952-12-01,0.25859
1953-01-01,0.51584
1953-02-01,1.31965
1953-03-01,-1.30246
1953-04-01,-0.76979
1953-05-01,-0.84965
1953-06-01,-0.78241
