DATE,USINFO_PCH
1939-02-01,0.53957
1939-03-01,0.71556
1939-04-01,0.08881
1939-05-01,-0.17746
1939-06-01,0.53333
1939-07-01,0.00000
1939-08-01,0.26525
1939-09-01,1.58730
1939-10-01,2.34375
1939-11-01,0.00000
1939-12-01,-0.08482
1940-01-01,0.42445
1940-02-01,0.25359
1940-03-01,-0.33727
1940-04-01,-0.67682
1940-05-01,0.34072
1940-06-01,0.00000
1940-07-01,0.00000
1940-08-01,1.10357
1940-09-01,1.17548
1940-10-01,1.41079
1940-11-01,0.73650
1940-12-01,0.81235
1941-01-01,0.96696
1941-02-01,1.11732
1941-03-01,1.34175
1941-04-01,1.63551
1941-05-01,1.68582
1941-06-01,1.35644
1941-07-01,1.33829
1941-08-01,0.95378
1941-09-01,0.72674
1941-10-01,0.72150
1941-11-01,0.21490
1941-12-01,0.14296
1942-01-01,0.49964
1942-02-01,0.49716
1942-03-01,0.77739
1942-04-01,0.98177
1942-05-01,0.69444
1942-06-01,0.48276
1942-07-01,0.96088
1942-08-01,1.01971
1942-09-01,0.94213
1942-10-01,0.93333
1942-11-01,0.85865
1942-12-01,1.30976
1943-01-01,0.96962
1943-02-01,0.51216
1943-03-01,0.76433
1943-04-01,0.50569
1943-05-01,0.25157
1943-06-01,0.75282
1943-07-01,0.49813
1943-08-01,0.24783
1943-09-01,0.06180
1943-10-01,0.74120
1943-11-01,0.55181
1943-12-01,0.00000
1944-01-01,0.06098
1944-02-01,0.24375
1944-03-01,-0.12158
1944-04-01,-0.18259
1944-05-01,-0.06098
1944-06-01,-0.12203
1944-07-01,-0.24435
1944-08-01,-0.12247
1944-09-01,-0.30656
1944-10-01,-0.24600
1944-11-01,0.18496
1944-12-01,0.55385
1945-01-01,-0.18360
1945-02-01,0.18394
1945-03-01,0.12240
1945-04-01,-0.48900
1945-05-01,-0.49140
1945-06-01,-0.67901
1945-07-01,-0.80796
1945-08-01,-1.25313
1945-09-01,-4.94924
1945-10-01,0.06676
1945-11-01,1.20080
1945-12-01,0.79103
1946-01-01,0.91563
1946-02-01,-2.00907
1946-03-01,2.71164
1946-04-01,1.86735
1946-05-01,-0.44248
1946-06-01,0.50794
1946-07-01,1.07391
1946-08-01,1.12500
1946-09-01,0.43263
1946-10-01,0.67692
1946-11-01,0.61125
1946-12-01,0.00000
1947-01-01,0.42527
1947-02-01,-0.06050
1947-03-01,0.60533
1947-04-01,-1.86522
1947-05-01,0.73574
1947-06-01,0.85210
1947-07-01,-0.18105
1947-08-01,0.30230
1947-09-01,0.36166
1947-10-01,0.12012
1947-11-01,0.05999
1947-12-01,0.65947
1948-01-01,-0.59559
1948-02-01,0.05992
1948-03-01,0.47904
1948-04-01,-1.48987
1948-05-01,0.66546
1948-06-01,0.36058
1948-07-01,0.41916
1948-08-01,-0.41741
1948-09-01,0.05988
1948-10-01,-0.05984
1948-11-01,-0.41916
1948-12-01,-0.06013
1949-01-01,-1.44404
1949-02-01,-0.61050
1949-03-01,-0.98280
1949-04-01,-0.49628
1949-05-01,-0.49875
1949-06-01,-0.68922
1949-07-01,-0.82019
1949-08-01,-0.44529
1949-09-01,-0.06390
1949-10-01,-2.04604
1949-11-01,0.52219
1949-12-01,1.16883
1950-01-01,0.25674
1950-02-01,-0.19206
1950-03-01,0.70558
1950-04-01,1.08280
1950-05-01,-0.06301
1950-06-01,2.08071
1950-07-01,0.92650
1950-08-01,1.46879
1950-09-01,0.72376
1950-10-01,0.65868
1950-11-01,0.17847
1950-12-01,0.29691
1951-01-01,0.71048
1951-02-01,0.70547
1951-03-01,0.52539
1951-04-01,0.23229
1951-05-01,-0.17381
1951-06-01,0.11608
1951-07-01,-0.17391
1951-08-01,-0.29036
1951-09-01,-0.17472
1951-10-01,-0.05834
1951-11-01,0.29189
1951-12-01,0.17462
1952-01-01,0.29053
1952-02-01,0.28969
1952-03-01,0.05777
1952-04-01,-0.46189
1952-05-01,0.23202
1952-06-01,-0.86806
1952-07-01,-1.05079
1952-08-01,2.12389
1952-09-01,0.92432
1952-10-01,0.68689
1952-11-01,0.51165
1952-12-01,0.45249
1953-01-01,0.11261
1953-02-01,0.33746
1953-03-01,0.44843
1953-04-01,0.11161
1953-05-01,0.33445
1953-06-01,0.00000
1953-07-01,0.11111
1953-08-01,-0.33296
1953-09-01,-0.50111
1953-10-01,-0.61556
1953-11-01,-0.84459
1953-12-01,-0.79500
1954-01-01,-0.80137
1954-02-01,-0.75014
1954-03-01,-1.10465
1954-04-01,0.00000
1954-05-01,-0.47031
1954-06-01,-0.23627
1954-07-01,-0.41445
1954-08-01,-0.29727
1954-09-01,0.05963
1954-10-01,-0.05959
1954-11-01,0.23852
1954-12-01,0.29744
1955-01-01,0.41518
1955-02-01,0.47253
1955-03-01,0.52910
1955-04-01,-0.11696
1955-05-01,0.99532
1955-06-01,0.92754
1955-07-01,0.17231
1955-08-01,0.40138
1955-09-01,0.11422
1955-10-01,0.17114
1955-11-01,0.62642
1955-12-01,0.22637
1956-01-01,0.16940
1956-02-01,0.16911
1956-03-01,0.00000
1956-04-01,0.33765
1956-05-01,0.05609
1956-06-01,-0.11211
