DATE,USPRIV_PCH
1939-02-01,0.63235
1939-03-01,0.68585
1939-04-01,-0.70782
1939-05-01,0.77035
1939-06-01,0.78348
1939-07-01,-0.37360
1939-08-01,0.82197
1939-09-01,1.26987
1939-10-01,1.36153
1939-11-01,0.14274
1939-12-01,0.17178
1940-01-01,0.16419
1940-02-01,0.40797
1940-03-01,0.39543
1940-04-01,-0.45169
1940-05-01,0.57352
1940-06-01,0.18768
1940-07-01,-0.28099
1940-08-01,1.40530
1940-09-01,1.52476
1940-10-01,1.45975
1940-11-01,1.24161
1940-12-01,1.66023
1941-01-01,0.85352
1941-02-01,1.08620
1941-03-01,0.71855
1941-04-01,1.06686
1941-05-01,2.12738
1941-06-01,1.29677
1941-07-01,1.37093
1941-08-01,1.03745
1941-09-01,0.67537
1941-10-01,0.29747
1941-11-01,0.09987
1941-12-01,0.17536
1942-01-01,0.37727
1942-02-01,0.32473
1942-03-01,0.93508
1942-04-01,0.94127
1942-05-01,1.01486
1942-06-01,0.52126
1942-07-01,1.04870
1942-08-01,0.84000
1942-09-01,0.62262
1942-10-01,0.46902
1942-11-01,0.25029
1942-12-01,0.54702
1943-01-01,0.54962
1943-02-01,0.36071
1943-03-01,0.34559
1943-04-01,0.23419
1943-05-01,-0.17867
1943-06-01,0.39102
1943-07-01,-0.03840
1943-08-01,-0.13171
1943-09-01,-0.19233
1943-10-01,0.49553
1943-11-01,0.37529
1943-12-01,-0.45576
1944-01-01,0.04661
1944-02-01,-0.22745
1944-03-01,-0.62622
1944-04-01,-0.63569
1944-05-01,-0.24200
1944-06-01,-0.17845
1944-07-01,-0.24022
1944-08-01,-0.19040
1944-09-01,-0.51338
1944-10-01,0.06204
1944-11-01,-0.10427
1944-12-01,0.10438
1945-01-01,0.43962
1945-02-01,0.04770
1945-03-01,-0.21314
1945-04-01,-0.90214
1945-05-01,-0.32898
1945-06-01,-0.50363
1945-07-01,-0.79787
1945-08-01,-1.03203
1945-09-01,-5.14404
1945-10-01,0.55581
1945-11-01,1.28260
1945-12-01,0.40101
1946-01-01,2.23730
1946-02-01,-1.69780
1946-03-01,2.90145
1946-04-01,2.07626
1946-05-01,1.32283
1946-06-01,1.22975
1946-07-01,1.15379
1946-08-01,1.34353
1946-09-01,0.77108
1946-10-01,0.49133
1946-11-01,0.87365
1946-12-01,-0.01324
1947-01-01,0.43707
1947-02-01,0.09231
1947-03-01,0.17918
1947-04-01,-0.20516
1947-05-01,0.38481
1947-06-01,0.52249
1947-07-01,-0.17500
1947-08-01,0.58086
1947-09-01,0.58011
1947-10-01,0.46814
1947-11-01,0.13901
1947-12-01,0.19795
1948-01-01,0.20269
1948-02-01,-0.35079
1948-03-01,0.36487
1948-04-01,-0.82949
1948-05-01,0.97842
1948-06-01,0.46785
1948-07-01,0.22393
1948-08-01,0.00254
1948-09-01,0.25897
1948-10-01,-0.18486
1948-11-01,-0.23594
1948-12-01,-0.45520
1949-01-01,-0.94523
1949-02-01,-0.43844
1949-03-01,-0.72272
1949-04-01,-0.09654
1949-05-01,-0.69473
1949-06-01,-0.62858
1949-07-01,-0.56639
1949-08-01,0.18632
1949-09-01,0.40118
1949-10-01,-2.16459
1949-11-01,0.86552
1949-12-01,0.74547
1950-01-01,0.05856
1950-02-01,-0.58789
1950-03-01,1.35132
1950-04-01,1.08776
1950-05-01,1.01076
1950-06-01,0.99806
1950-07-01,0.77571
1950-08-01,1.62839
1950-09-01,0.51244
1950-10-01,0.61428
1950-11-01,0.14089
1950-12-01,0.08145
1951-01-01,0.95938
1951-02-01,0.63269
1951-03-01,0.65056
1951-04-01,-0.12782
1951-05-01,0.30186
1951-06-01,0.07223
1951-07-01,-0.10105
1951-08-01,-0.07225
1951-09-01,-0.21931
1951-10-01,0.06521
1951-11-01,0.22207
1951-12-01,0.25288
1952-01-01,0.19459
1952-02-01,0.39562
1952-03-01,-0.07165
1952-04-01,0.27723
1952-05-01,-0.02383
1952-06-01,-0.90112
1952-07-01,-0.39452
