,Month,Deficit_mil
0,1980-10-01,-16921.0
1,1980-11-01,-8907.0
2,1980-12-01,-1965.0
3,1981-01-01,-12192.0
4,1981-02-01,-15620.0
5,1981-03-01,-9582.0
6,1981-04-01,17190.0
7,1981-05-01,-16171.0
8,1981-06-01,15363.0
9,1981-07-01,-10343.0
10,1981-08-01,-5119.0
11,1981-09-01,6335.0
12,1981-10-01,-18105.0
13,1981-11-01,-10642.0
14,1981-12-01,-19468.0
15,1982-01-01,9339.0
16,1982-02-01,-14780.0
17,1982-03-01,-18255.0
18,1982-04-01,9704.0
19,1982-05-01,-18930.0
20,1982-06-01,6724.0
21,1982-07-01,-19831.0
22,1982-08-01,-14704.0
23,1982-09-01,-1708.0
24,1982-10-01,-26169.0
25,1982-11-01,-24158.0
26,1982-12-01,-17938.0
27,1983-01-01,-9582.0
28,1983-02-01,-25336.0
29,1983-03-01,-26036.0
30,1983-04-01,-3308.0
31,1983-05-01,-29285.0
32,1983-06-01,3401.0
33,1983-07-01,-21412.0
34,1983-08-01,-17477.0
35,1983-09-01,1946.0
36,1983-10-01,-25069.0
37,1983-11-01,-21591.0
38,1983-12-01,-16661.0
39,1984-01-01,-5515.0
40,1984-02-01,-20381.0
41,1984-03-01,-28555.0
42,1984-04-01,11493.0
43,1984-05-01,-33932.0
44,1984-06-01,-2000.0
45,1984-07-01,-16416.0
46,1984-08-01,-33498.0
47,1984-09-01,16785.0
48,1984-10-01,-28009.0
49,1984-11-01,-28896.0
50,1984-12-01,-14568.0
51,1985-01-01,-7992.0
52,1985-02-01,-21053.0
53,1985-03-01,-29502.0
54,1985-04-01,11386.0
55,1985-05-01,-41997.0
56,1985-06-01,-1408.0
57,1985-07-01,-21533.0
58,1985-08-01,-27597.0
59,1985-09-01,-764.0
60,1985-10-01,-27087.0
61,1985-11-01,-33386.0
62,1985-12-01,-14656.0
63,1986-01-01,-6492.0
64,1986-02-01,-24580.0
65,1986-03-01,-30142.0
66,1986-04-01,9928.0
67,1986-05-01,-39396.0
68,1986-06-01,-1044.0
69,1986-07-01,-22304.0
70,1986-08-01,-28056.0
71,1986-09-01,-3926.0
72,1986-10-01,-25290.0
73,1986-11-01,-27087.0
74,1986-12-01,-12369.0
75,1987-01-01,-2157.0
76,1987-02-01,-28379.0
77,1987-03-01,-27931.0
78,1987-04-01,38742.0
79,1987-05-01,-35637.0
80,1987-06-01,-623.0
81,1987-07-01,-22339.0
82,1987-08-01,-21796.0
83,1987-09-01,15204.0
84,1987-10-01,-30810.0
85,1987-11-01,-27022.0
86,1987-12-01,-24363.0
87,1988-01-01,15896.0
88,1988-02-01,-24065.0
89,1988-03-01,-29283.0
90,1988-04-01,13769.0
91,1988-05-01,-22583.0
92,1988-06-01,9134.0
93,1988-07-01,-22918.0
94,1988-08-01,-23079.0
95,1988-09-01,10173.0
96,1988-10-01,-27005.0
97,1988-11-01,-29140.0
98,1988-12-01,-12790.0
99,1989-01-01,2797.0
100,1989-02-01,-27871.0
101,1989-03-01,-35784.0
102,1989-04-01,40654.0
103,1989-05-01,-25433.0
104,1989-06-01,7785.0
105,1989-07-01,-18237.0
106,1989-08-01,-22150.0
107,1989-09-01,-6146.0
108,1989-10-01,-26084.0
109,1989-11-01,-29732.0
110,1989-12-01,-14772.0
111,1990-01-01,8282.0
112,1990-02-01,-35207.0
113,1990-03-01,-53324.0
114,1990-04-01,41829.0
115,1990-05-01,-42482.0
116,1990-06-01,-11105.0
117,1990-07-01,-25924.0
118,1990-08-01,-52719.0
119,1990-09-01,20768.0
120,1990-10-01,-31364.0
121,1990-11-01,-47723.0
122,1990-12-01,-7387.0
123,1991-01-01,1650.0
124,1991-02-01,-26191.0
125,1991-03-01,-41173.0
126,1991-04-01,30009.0
127,1991-05-01,-53367.0
128,1991-06-01,-2579.0
129,1991-07-01,-40831.0
130,1991-08-01,-43649.0
131,1991-09-01,-6887.0
132,1991-10-01,-36594.0
133,1991-11-01,-44684.0
134,1991-12-01,-2534.0
135,1992-01-01,-15668.0
136,1992-02-01,-49180.0
137,1992-03-01,-50712.0
138,1992-04-01,14603.0
139,1992-05-01,-46773.0
140,1992-06-01,3782.0
141,1992-07-01,-43147.0
142,1992-08-01,-24742.0
143,1992-09-01,5310.0
144,1992-10-01,-48792.0
145,1992-11-01,-32726.0
146,1992-12-01,-38947.0
147,1993-01-01,29817.0
148,1993-02-01,-48498.0
149,1993-03-01,-43974.0
150,1993-04-01,7817.0
151,1993-05-01,-36963.0
152,1993-06-01,11099.0
153,1993-07-01,-39577.0
154,1993-08-01,-23078.0
155,1993-09-01,8517.0
156,1993-10-01,-45422.0
157,1993-11-01,-38381.0
158,1993-12-01,-7705.0
159,1994-01-01,15248.0
160,1994-02-01,-41566.0
161,1994-03-01,-32315.0
162,1994-04-01,17454.0
163,1994-05-01,-32057.0
164,1994-06-01,14850.0
165,1994-07-01,-33198.0
166,1994-08-01,-24275.0
167,1994-09-01,4266.0
168,1994-10-01,-31343.0
169,1994-11-01,-37243.0
170,1994-12-01,-4803.0
171,1995-01-01,15634.0
172,1995-02-01,-38357.0
173,1995-03-01,-50544.0
174,1995-04-01,49722.0
175,1995-05-01,-39555.0
176,1995-06-01,12813.0
177,1995-07-01,-13582.0
178,1995-08-01,-33849.0
179,1995-09-01,7191.0
180,1995-10-01,-22758.0
181,1995-11-01,-38452.0
182,1995-12-01,5283.0
183,1996-01-01,19456.0
184,1996-02-01,-44346.0
185,1996-03-01,-47071.0
186,1996-04-01,72404.0
187,1996-05-01,-53051.0
188,1996-06-01,34340.0
189,1996-07-01,-26856.0
190,1996-08-01,-41831.0
191,1996-09-01,35257.0
192,1996-10-01,-39805.0
193,1996-11-01,-37878.0
194,1996-12-01,18490.0
195,1997-01-01,13364.0
196,1997-02-01,-44010.0
197,1997-03-01,-21323.0
198,1997-04-01,93939.0
199,1997-05-01,-48494.0
200,1997-06-01,54635.0
201,1997-07-01,-25624.0
202,1997-08-01,-35189.0
203,1997-09-01,49940.0
204,1997-10-01,-35968.0
205,1997-11-01,-17349.0
206,1997-12-01,13639.0
207,1998-01-01,25379.0
208,1998-02-01,-41750.0
209,1998-03-01,-13813.0
210,1998-04-01,124603.0
211,1998-05-01,-38779.0
212,1998-06-01,51106.0
213,1998-07-01,-24084.0
214,1998-08-01,-11166.0
215,1998-09-01,37425.0
216,1998-10-01,-32440.0
217,1998-11-01,-16937.0
218,1998-12-01,-5156.0
219,1999-01-01,70505.0
220,1999-02-01,-42337.0
221,1999-03-01,-22409.0
222,1999-04-01,113459.0
223,1999-05-01,-23969.0
224,1999-06-01,53568.0
225,1999-07-01,-25164.0
226,1999-08-01,-2803.0
227,1999-09-01,58042.0
228,1999-10-01,-26326.0
229,1999-11-01,-27031.0
230,1999-12-01,33081.0
231,2000-01-01,62152.0
232,2000-02-01,-41734.0
233,2000-03-01,-35380.0
234,2000-04-01,159497.0
235,2000-05-01,-3611.0
236,2000-06-01,55888.0
237,2000-07-01,5061.0
238,2000-08-01,-10427.0
239,2000-09-01,65747.0
240,2000-10-01,-11321.0
241,2000-11-01,-23690.0
242,2000-12-01,32666.0
243,2001-01-01,76379.0
244,2001-02-01,-48168.0
245,2001-03-01,-50662.0
246,2001-04-01,189796.0
247,2001-05-01,-27919.0
248,2001-06-01,31862.0
